access_point_id,floor_id,reader_type,target_id,direction,x,y
AP_BLD01_ENT01,BLD01_F01,BUILDING_ENTRANCE,BLD01,IN_OUT,2.0,36.0
AP_ROOM_BLD01_F01_001_DOOR,BLD01_F01,ROOM_DOOR,ROOM_BLD01_F01_001,IN,86.9,10.27
AP_BLD01_F02_LOBBY,BLD01_F02,FLOOR_LOBBY,BLD01_F02,IN,10.0,36.0
AP_ROOM_BLD01_F02_021_DOOR,BLD01_F02,ROOM_DOOR,ROOM_BLD01_F02_021,IN,86.9,39.45
AP_ROOM_BLD01_F02_022_DOOR,BLD01_F02,ROOM_DOOR,ROOM_BLD01_F02_022,IN,97.63,39.45
AP_BLD01_F03_LOBBY,BLD01_F03,FLOOR_LOBBY,BLD01_F03,IN,10.0,36.0
AP_ROOM_BLD01_F03_034_DOOR,BLD01_F03,ROOM_DOOR,ROOM_BLD01_F03_034,IN,86.9,39.45
AP_ROOM_BLD01_F03_035_DOOR,BLD01_F03,ROOM_DOOR,ROOM_BLD01_F03_035,IN,97.63,39.45
AP_BLD01_F04_LOBBY,BLD01_F04,FLOOR_LOBBY,BLD01_F04,IN,10.0,36.0
AP_ROOM_BLD01_F04_047_DOOR,BLD01_F04,ROOM_DOOR,ROOM_BLD01_F04_047,IN,86.9,39.45
AP_ROOM_BLD01_F04_048_DOOR,BLD01_F04,ROOM_DOOR,ROOM_BLD01_F04_048,IN,97.63,39.45
AP_BLD01_F04_ZA_SECURE,BLD01_F04,SECURE_ZONE,BLD01_F04_ZA,IN,15.0,18.25
AP_BLD01_F04_ZB_SECURE,BLD01_F04,SECURE_ZONE,BLD01_F04_ZB,IN,49.5,18.25
AP_BLD01_F04_ZC_SECURE,BLD01_F04,SECURE_ZONE,BLD01_F04_ZC,IN,15.0,52.75
AP_BLD01_F04_ZD_SECURE,BLD01_F04,SECURE_ZONE,BLD01_F04_ZD,IN,49.5,52.75
