employee_id,iso_weekday,planned_mode
EMP000001,1,REMOTE
EMP000001,2,OFFICE
EMP000001,3,OFFICE
EMP000001,4,OFFICE
EMP000001,5,REMOTE
EMP000001,6,REMOTE
EMP000001,7,REMOTE
EMP000002,1,REMOTE
EMP000002,2,REMOTE
EMP000002,3,REMOTE
EMP000002,4,REMOTE
EMP000002,5,REMOTE
EMP000002,6,REMOTE
EMP000002,7,REMOTE
EMP000003,1,REMOTE
EMP000003,2,OFFICE
EMP000003,3,OFFICE
EMP000003,4,OFFICE
EMP000003,5,REMOTE
EMP000003,6,REMOTE
EMP000003,7,REMOTE
EMP000004,1,OFFICE
EMP000004,2,OFFICE
EMP000004,3,OFFICE
EMP000004,4,OFFICE
EMP000004,5,OFFICE
EMP000004,6,REMOTE
EMP000004,7,REMOTE
EMP000005,1,REMOTE
EMP000005,2,REMOTE
EMP000005,3,REMOTE
EMP000005,4,REMOTE
EMP000005,5,REMOTE
EMP000005,6,REMOTE
EMP000005,7,REMOTE
EMP000006,1,REMOTE
EMP000006,2,OFFICE
EMP000006,3,OFFICE
EMP000006,4,OFFICE
EMP000006,5,REMOTE
EMP000006,6,REMOTE
EMP000006,7,REMOTE
EMP000007,1,REMOTE
EMP000007,2,OFFICE
EMP000007,3,OFFICE
EMP000007,4,OFFICE
EMP000007,5,REMOTE
EMP000007,6,REMOTE
EMP000007,7,REMOTE
EMP000008,1,REMOTE
EMP000008,2,REMOTE
EMP000008,3,REMOTE
EMP000008,4,REMOTE
EMP000008,5,REMOTE
EMP000008,6,REMOTE
EMP000008,7,REMOTE
EMP000009,1,REMOTE
EMP000009,2,OFFICE
EMP000009,3,OFFICE
EMP000009,4,OFFICE
EMP000009,5,REMOTE
EMP000009,6,REMOTE
EMP000009,7,REMOTE
EMP000010,1,REMOTE
EMP000010,2,OFFICE
EMP000010,3,OFFICE
EMP000010,4,OFFICE
EMP000010,5,FLEX
EMP000010,6,REMOTE
EMP000010,7,REMOTE
EMP000011,1,REMOTE
EMP000011,2,REMOTE
EMP000011,3,REMOTE
EMP000011,4,REMOTE
EMP000011,5,REMOTE
EMP000011,6,REMOTE
EMP000011,7,REMOTE
EMP000012,1,REMOTE
EMP000012,2,OFFICE
EMP000012,3,OFFICE
EMP000012,4,OFFICE
EMP000012,5,REMOTE
EMP000012,6,REMOTE
EMP000012,7,REMOTE
EMP000013,1,REMOTE
EMP000013,2,OFFICE
EMP000013,3,OFFICE
EMP000013,4,OFFICE
EMP000013,5,REMOTE
EMP000013,6,REMOTE
EMP000013,7,REMOTE
EMP000014,1,REMOTE
EMP000014,2,REMOTE
EMP000014,3,REMOTE
EMP000014,4,REMOTE
EMP000014,5,REMOTE
EMP000014,6,REMOTE
EMP000014,7,REMOTE
EMP000015,1,REMOTE
EMP000015,2,OFFICE
EMP000015,3,OFFICE
EMP000015,4,OFFICE
EMP000015,5,REMOTE
EMP000015,6,REMOTE
EMP000015,7,REMOTE
EMP000016,1,REMOTE
EMP000016,2,OFFICE
EMP000016,3,OFFICE
EMP000016,4,OFFICE
EMP000016,5,REMOTE
EMP000016,6,REMOTE
EMP000016,7,REMOTE
EMP000017,1,REMOTE
EMP000017,2,OFFICE
EMP000017,3,OFFICE
EMP000017,4,OFFICE
EMP000017,5,FLEX
EMP000017,6,REMOTE
EMP000017,7,REMOTE
EMP000018,1,REMOTE
EMP000018,2,OFFICE
EMP000018,3,OFFICE
EMP000018,4,OFFICE
EMP000018,5,REMOTE
EMP000018,6,REMOTE
EMP000018,7,REMOTE
EMP000019,1,REMOTE
EMP000019,2,OFFICE
EMP000019,3,OFFICE
EMP000019,4,OFFICE
EMP000019,5,REMOTE
EMP000019,6,REMOTE
EMP000019,7,REMOTE
EMP000020,1,FLEX
EMP000020,2,OFFICE
EMP000020,3,OFFICE
EMP000020,4,OFFICE
EMP000020,5,REMOTE
EMP000020,6,REMOTE
EMP000020,7,REMOTE
EMP000021,1,FLEX
EMP000021,2,OFFICE
EMP000021,3,OFFICE
EMP000021,4,OFFICE
EMP000021,5,REMOTE
EMP000021,6,REMOTE
EMP000021,7,REMOTE
EMP000022,1,OFFICE
EMP000022,2,OFFICE
EMP000022,3,OFFICE
EMP000022,4,OFFICE
