room_id,floor_id,zone_id,room_type,area_subtype,name,capacity,x,y,width,height,is_bookable,has_badge_reader,has_panel,status
ROOM_BLD01_F01_001,BLD01_F01,BLD01_F01_ZMTG,AUDITORIUM,,Auditorium 1,100,86.4,3.4,10.73,13.73,True,True,True,ACTIVE
ROOM_BLD01_F01_002,BLD01_F01,BLD01_F01_ZMTG,SMALL_MEETING,,Small Meeting 2,4,97.13,3.4,10.73,13.73,True,False,True,ACTIVE
ROOM_BLD01_F01_003,BLD01_F01,BLD01_F01_ZMTG,SMALL_MEETING,,Small Meeting 3,4,107.87,3.4,10.73,13.73,True,False,True,ACTIVE
ROOM_BLD01_F01_004,BLD01_F01,BLD01_F01_ZMTG,SMALL_MEETING,,Small Meeting 4,4,86.4,17.13,10.73,13.73,True,False,True,ACTIVE
ROOM_BLD01_F01_005,BLD01_F01,BLD01_F01_ZMTG,SMALL_MEETING,,Small Meeting 5,4,97.13,17.13,10.73,13.73,True,False,True,ACTIVE
ROOM_BLD01_F01_006,BLD01_F01,BLD01_F01_ZMTG,SMALL_MEETING,,Small Meeting 6,4,107.87,17.13,10.73,13.73,True,False,True,ACTIVE
ROOM_BLD01_F01_007,BLD01_F01,BLD01_F01_ZMTG,MEDIUM_MEETING,,Medium Meeting 7,8,86.4,30.87,10.73,13.73,True,False,True,ACTIVE
ROOM_BLD01_F01_008,BLD01_F01,BLD01_F01_ZMTG,MEDIUM_MEETING,,Medium Meeting 8,8,97.13,30.87,10.73,13.73,True,False,True,ACTIVE
ROOM_BLD01_F01_009,BLD01_F01,BLD01_F01_ZMTG,MEDIUM_MEETING,,Medium Meeting 9,8,107.87,30.87,10.73,13.73,True,False,True,ACTIVE
AREA_BLD01_F01_CAF,BLD01_F01,BLD01_F01_ZCOM,COMMON_AREA,CAFETERIA,Cafeteria,300,86.4,49.4,16.1,21.2,False,False,False,ACTIVE
AREA_BLD01_F01_LOU,BLD01_F01,BLD01_F01_ZCOM,COMMON_AREA,LOUNGE,Lounge,16,102.5,49.4,16.1,21.2,False,False,False,ACTIVE
ROOM_BLD01_F02_012,BLD01_F02,BLD01_F02_ZMTG,SMALL_MEETING,,Small Meeting 12,4,86.4,3.4,10.73,10.3,True,False,True,ACTIVE
ROOM_BLD01_F02_013,BLD01_F02,BLD01_F02_ZMTG,SMALL_MEETING,,Small Meeting 13,4,97.13,3.4,10.73,10.3,True,False,True,ACTIVE
ROOM_BLD01_F02_014,BLD01_F02,BLD01_F02_ZMTG,SMALL_MEETING,,Small Meeting 14,4,107.87,3.4,10.73,10.3,True,False,True,ACTIVE
ROOM_BLD01_F02_015,BLD01_F02,BLD01_F02_ZMTG,SMALL_MEETING,,Small Meeting 15,4,86.4,13.7,10.73,10.3,True,False,True,ACTIVE
ROOM_BLD01_F02_016,BLD01_F02,BLD01_F02_ZMTG,SMALL_MEETING,,Small Meeting 16,4,97.13,13.7,10.73,10.3,True,False,True,ACTIVE
ROOM_BLD01_F02_017,BLD01_F02,BLD01_F02_ZMTG,MEDIUM_MEETING,,Medium Meeting 17,8,107.87,13.7,10.73,10.3,True,False,True,ACTIVE
ROOM_BLD01_F02_018,BLD01_F02,BLD01_F02_ZMTG,MEDIUM_MEETING,,Medium Meeting 18,8,86.4,24.0,10.73,10.3,True,False,True,ACTIVE
ROOM_BLD01_F02_019,BLD01_F02,BLD01_F02_ZMTG,MEDIUM_MEETING,,Medium Meeting 19,8,97.13,24.0,10.73,10.3,True,False,True,ACTIVE
ROOM_BLD01_F02_020,BLD01_F02,BLD01_F02_ZMTG,MEDIUM_MEETING,,Medium Meeting 20,8,107.87,24.0,10.73,10.3,True,False,True,ACTIVE
ROOM_BLD01_F02_021,BLD01_F02,BLD01_F02_ZMTG,LARGE_CONFERENCE,,Large Conference 21,20,86.4,34.3,10.73,10.3,True,True,True,ACTIVE
ROOM_BLD01_F02_022,BLD01_F02,BLD01_F02_ZMTG,LARGE_CONFERENCE,,Large Conference 22,20,97.13,34.3,10.73,10.3,True,True,True,ACTIVE
AREA_BLD01_F02_COL,BLD01_F02,BLD01_F02_ZCOM,COMMON_AREA,COLLABORATION,Collaboration,20,86.4,49.4,16.1,21.2,False,False,False,ACTIVE
AREA_BLD01_F02_LOU,BLD01_F02,BLD01_F02_ZCOM,COMMON_AREA,LOUNGE,Lounge,12,102.5,49.4,16.1,21.2,False,False,False,ACTIVE
ROOM_BLD01_F03_025,BLD01_F03,BLD01_F03_ZMTG,SMALL_MEETING,,Small Meeting 25,4,86.4,3.4,10.73,10.3,True,False,True,ACTIVE
ROOM_BLD01_F03_026,BLD01_F03,BLD01_F03_ZMTG,SMALL_MEETING,,Small Meeting 26,4,97.13,3.4,10.73,10.3,True,False,True,ACTIVE
ROOM_BLD01_F03_027,BLD01_F03,BLD01_F03_ZMTG,SMALL_MEETING,,Small Meeting 27,4,107.87,3.4,10.73,10.3,True,False,True,ACTIVE
ROOM_BLD01_F03_028,BLD01_F03,BLD01_F03_ZMTG,SMALL_MEETING,,Small Meeting 28,4,86.4,13.7,10.73,10.3,True,False,True,ACTIVE
ROOM_BLD01_F03_029,BLD01_F03,BLD01_F03_ZMTG,SMALL_MEETING,,Small Meeting 29,4,97.13,13.7,10.73,10.3,True,False,True,ACTIVE
ROOM_BLD01_F03_030,BLD01_F03,BLD01_F03_ZMTG,MEDIUM_MEETING,,Medium Meeting 30,8,107.87,13.7,10.73,10.3,True,False,True,ACTIVE
ROOM_BLD01_F03_031,BLD01_F03,BLD01_F03_ZMTG,MEDIUM_MEETING,,Medium Meeting 31,8,86.4,24.0,10.73,10.3,True,False,True,ACTIVE
ROOM_BLD01_F03_032,BLD01_F03,BLD01_F03_ZMTG,MEDIUM_MEETING,,Medium Meeting 32,8,97.13,24.0,10.73,10.3,True,False,True,ACTIVE
ROOM_BLD01_F03_033,BLD01_F03,BLD01_F03_ZMTG,MEDIUM_MEETING,,Medium Meeting 33,8,107.87,24.0,10.73,10.3,True,False,True,ACTIVE
ROOM_BLD01_F03_034,BLD01_F03,BLD01_F03_ZMTG,LARGE_CONFERENCE,,Large Conference 34,20,86.4,34.3,10.73,10.3,True,True,True,ACTIVE
ROOM_BLD01_F03_035,BLD01_F03,BLD01_F03_ZMTG,LARGE_CONFERENCE,,Large Conference 35,20,97.13,34.3,10.73,10.3,True,True,True,ACTIVE
AREA_BLD01_F03_COL,BLD01_F03,BLD01_F03_ZCOM,COMMON_AREA,COLLABORATION,Collaboration,20,86.4,49.4,16.1,21.2,False,False,False,ACTIVE
AREA_BLD01_F03_LOU,BLD01_F03,BLD01_F03_ZCOM,COMMON_AREA,LOUNGE,Lounge,12,102.5,49.4,16.1,21.2,False,False,False,ACTIVE
ROOM_BLD01_F04_038,BLD01_F04,BLD01_F04_ZMTG,SMALL_MEETING,,Small Meeting 38,4,86.4,3.4,10.73,10.3,True,False,True,ACTIVE
ROOM_BLD01_F04_039,BLD01_F04,BLD01_F04_ZMTG,SMALL_MEETING,,Small Meeting 39,4,97.13,3.4,10.73,10.3,True,False,True,ACTIVE
ROOM_BLD01_F04_040,BLD01_F04,BLD01_F04_ZMTG,SMALL_MEETING,,Small Meeting 40,4,107.87,3.4,10.73,10.3,True,False,True,ACTIVE
ROOM_BLD01_F04_041,BLD01_F04,BLD01_F04_ZMTG,SMALL_MEETING,,Small Meeting 41,4,86.4,13.7,10.73,10.3,True,False,True,ACTIVE
ROOM_BLD01_F04_042,BLD01_F04,BLD01_F04_ZMTG,SMALL_MEETING,,Small Meeting 42,4,97.13,13.7,10.73,10.3,True,False,True,ACTIVE
ROOM_BLD01_F04_043,BLD01_F04,BLD01_F04_ZMTG,MEDIUM_MEETING,,Medium Meeting 43,8,107.87,13.7,10.73,10.3,True,False,True,ACTIVE
ROOM_BLD01_F04_044,BLD01_F04,BLD01_F04_ZMTG,MEDIUM_MEETING,,Medium Meeting 44,8,86.4,24.0,10.73,10.3,True,False,True,ACTIVE
ROOM_BLD01_F04_045,BLD01_F04,BLD01_F04_ZMTG,MEDIUM_MEETING,,Medium Meeting 45,8,97.13,24.0,10.73,10.3,True,False,True,ACTIVE
ROOM_BLD01_F04_046,BLD01_F04,BLD01_F04_ZMTG,MEDIUM_MEETING,,Medium Meeting 46,8,107.87,24.0,10.73,10.3,True,False,True,ACTIVE
ROOM_BLD01_F04_047,BLD01_F04,BLD01_F04_ZMTG,LARGE_CONFERENCE,,Large Conference 47,20,86.4,34.3,10.73,10.3,True,True,True,ACTIVE
ROOM_BLD01_F04_048,BLD01_F04,BLD01_F04_ZMTG,LARGE_CONFERENCE,,Large Conference 48,20,97.13,34.3,10.73,10.3,True,True,True,ACTIVE
AREA_BLD01_F04_COL,BLD01_F04,BLD01_F04_ZCOM,COMMON_AREA,COLLABORATION,Collaboration,20,86.4,49.4,16.1,21.2,False,False,False,ACTIVE
AREA_BLD01_F04_LOU,BLD01_F04,BLD01_F04_ZCOM,COMMON_AREA,LOUNGE,Lounge,12,102.5,49.4,16.1,21.2,False,False,False,ACTIVE
