sensor_id,sensor_type,target_type,target_id,floor_id,zone_id,metrics
SEN_DSK_000001,DESK_OCCUPANCY,WORKSPACE,DESK_BLD01_F01_0001,BLD01_F01,BLD01_F01_ZA,
SEN_DSK_000002,DESK_OCCUPANCY,WORKSPACE,DESK_BLD01_F01_0002,BLD01_F01,BLD01_F01_ZA,
SEN_DSK_000003,DESK_OCCUPANCY,WORKSPACE,DESK_BLD01_F01_0003,BLD01_F01,BLD01_F01_ZA,
SEN_DSK_000004,DESK_OCCUPANCY,WORKSPACE,DESK_BLD01_F01_0004,BLD01_F01,BLD01_F01_ZA,
SEN_DSK_000005,DESK_OCCUPANCY,WORKSPACE,DESK_BLD01_F01_0005,BLD01_F01,BLD01_F01_ZA,
SEN_DSK_000006,DESK_OCCUPANCY,WORKSPACE,DESK_BLD01_F01_0006,BLD01_F01,BLD01_F01_ZA,
SEN_DSK_000007,DESK_OCCUPANCY,WORKSPACE,DESK_BLD01_F01_0007,BLD01_F01,BLD01_F01_ZA,
SEN_DSK_000008,DESK_OCCUPANCY,WORKSPACE,DESK_BLD01_F01_0008,BLD01_F01,BLD01_F01_ZA,
SEN_DSK_000009,DESK_OCCUPANCY,WORKSPACE,DESK_BLD01_F01_0009,BLD01_F01,BLD01_F01_ZA,
SEN_DSK_000010,DESK_OCCUPANCY,WORKSPACE,DESK_BLD01_F01_0010,BLD01_F01,BLD01_F01_ZA,
SEN_DSK_000011,DESK_OCCUPANCY,WORKSPACE,DESK_BLD01_F01_0011,BLD01_F01,BLD01_F01_ZA,
SEN_DSK_000012,DESK_OCCUPANCY,WORKSPACE,DESK_BLD01_F01_0012,BLD01_F01,BLD01_F01_ZA,
SEN_DSK_000013,DESK_OCCUPANCY,WORKSPACE,DESK_BLD01_F01_0013,BLD01_F01,BLD01_F01_ZA,
SEN_DSK_000014,DESK_OCCUPANCY,WORKSPACE,DESK_BLD01_F01_0014,BLD01_F01,BLD01_F01_ZA,
SEN_DSK_000015,DESK_OCCUPANCY,WORKSPACE,DESK_BLD01_F01_0015,BLD01_F01,BLD01_F01_ZA,
SEN_DSK_000016,DESK_OCCUPANCY,WORKSPACE,DESK_BLD01_F01_0016,BLD01_F01,BLD01_F01_ZA,
SEN_DSK_000017,DESK_OCCUPANCY,WORKSPACE,DESK_BLD01_F01_0017,BLD01_F01,BLD01_F01_ZA,
SEN_DSK_000018,DESK_OCCUPANCY,WORKSPACE,DESK_BLD01_F01_0018,BLD01_F01,BLD01_F01_ZA,
SEN_DSK_000019,DESK_OCCUPANCY,WORKSPACE,DESK_BLD01_F01_0019,BLD01_F01,BLD01_F01_ZA,
SEN_DSK_000020,DESK_OCCUPANCY,WORKSPACE,DESK_BLD01_F01_0020,BLD01_F01,BLD01_F01_ZA,
SEN_DSK_000021,DESK_OCCUPANCY,WORKSPACE,DESK_BLD01_F01_0021,BLD01_F01,BLD01_F01_ZA,
SEN_DSK_000022,DESK_OCCUPANCY,WORKSPACE,DESK_BLD01_F01_0022,BLD01_F01,BLD01_F01_ZA,
SEN_DSK_000023,DESK_OCCUPANCY,WORKSPACE,DESK_BLD01_F01_0023,BLD01_F01,BLD01_F01_ZA,
SEN_DSK_000024,DESK_OCCUPANCY,WORKSPACE,DESK_BLD01_F01_0024,BLD01_F01,BLD01_F01_ZA,
SEN_DSK_000025,DESK_OCCUPANCY,WORKSPACE,DESK_BLD01_F01_0025,BLD01_F01,BLD01_F01_ZA,
SEN_DSK_000026,DESK_OCCUPANCY,WORKSPACE,DESK_BLD01_F01_0026,BLD01_F01,BLD01_F01_ZA,
SEN_DSK_000027,DESK_OCCUPANCY,WORKSPACE,DESK_BLD01_F01_0027,BLD01_F01,BLD01_F01_ZA,
SEN_DSK_000028,DESK_OCCUPANCY,WORKSPACE,DESK_BLD01_F01_0028,BLD01_F01,BLD01_F01_ZA,
SEN_DSK_000029,DESK_OCCUPANCY,WORKSPACE,DESK_BLD01_F01_0029,BLD01_F01,BLD01_F01_ZA,
SEN_DSK_000030,DESK_OCCUPANCY,WORKSPACE,DESK_BLD01_F01_0030,BLD01_F01,BLD01_F01_ZA,
SEN_DSK_000031,DESK_OCCUPANCY,WORKSPACE,DESK_BLD01_F01_0031,BLD01_F01,BLD01_F01_ZA,
SEN_DSK_000032,DESK_OCCUPANCY,WORKSPACE,DESK_BLD01_F01_0032,BLD01_F01,BLD01_F01_ZA,
SEN_DSK_000033,DESK_OCCUPANCY,WORKSPACE,DESK_BLD01_F01_0033,BLD01_F01,BLD01_F01_ZA,
SEN_DSK_000034,DESK_OCCUPANCY,WORKSPACE,DESK_BLD01_F01_0034,BLD01_F01,BLD01_F01_ZA,
SEN_DSK_000035,DESK_OCCUPANCY,WORKSPACE,DESK_BLD01_F01_0035,BLD01_F01,BLD01_F01_ZA,
SEN_DSK_000036,DESK_OCCUPANCY,WORKSPACE,DESK_BLD01_F01_0036,BLD01_F01,BLD01_F01_ZA,
SEN_DSK_000037,DESK_OCCUPANCY,WORKSPACE,DESK_BLD01_F01_0037,BLD01_F01,BLD01_F01_ZA,
SEN_DSK_000038,DESK_OCCUPANCY,WORKSPACE,DESK_BLD01_F01_0038,BLD01_F01,BLD01_F01_ZA,
SEN_DSK_000039,DESK_OCCUPANCY,WORKSPACE,DESK_BLD01_F01_0039,BLD01_F01,BLD01_F01_ZA,
SEN_DSK_000040,DESK_OCCUPANCY,WORKSPACE,DESK_BLD01_F01_0040,BLD01_F01,BLD01_F01_ZA,
SEN_DSK_000041,DESK_OCCUPANCY,WORKSPACE,DESK_BLD01_F01_0041,BLD01_F01,BLD01_F01_ZA,
SEN_DSK_000042,DESK_OCCUPANCY,WORKSPACE,DESK_BLD01_F01_0042,BLD01_F01,BLD01_F01_ZA,
SEN_DSK_000043,DESK_OCCUPANCY,WORKSPACE,DESK_BLD01_F01_0043,BLD01_F01,BLD01_F01_ZA,
SEN_DSK_000044,DESK_OCCUPANCY,WORKSPACE,DESK_BLD01_F01_0044,BLD01_F01,BLD01_F01_ZA,
SEN_DSK_000045,DESK_OCCUPANCY,WORKSPACE,DESK_BLD01_F01_0045,BLD01_F01,BLD01_F01_ZA,
SEN_DSK_000046,DESK_OCCUPANCY,WORKSPACE,DESK_BLD01_F01_0046,BLD01_F01,BLD01_F01_ZA,
SEN_DSK_000047,DESK_OCCUPANCY,WORKSPACE,DESK_BLD01_F01_0047,BLD01_F01,BLD01_F01_ZA,
SEN_DSK_000048,DESK_OCCUPANCY,WORKSPACE,DESK_BLD01_F01_0048,BLD01_F01,BLD01_F01_ZA,
SEN_DSK_000049,DESK_OCCUPANCY,WORKSPACE,DESK_BLD01_F01_0049,BLD01_F01,BLD01_F01_ZA,
SEN_DSK_000050,DESK_OCCUPANCY,WORKSPACE,DESK_BLD01_F01_0050,BLD01_F01,BLD01_F01_ZA,
SEN_DSK_000051,DESK_OCCUPANCY,WORKSPACE,DESK_BLD01_F01_0051,BLD01_F01,BLD01_F01_ZB,
SEN_DSK_000052,DESK_OCCUPANCY,WORKSPACE,DESK_BLD01_F01_0052,BLD01_F01,BLD01_F01_ZB,
SEN_DSK_000053,DESK_OCCUPANCY,WORKSPACE,DESK_BLD01_F01_0053,BLD01_F01,BLD01_F01_ZB,
SEN_DSK_000054,DESK_OCCUPANCY,WORKSPACE,DESK_BLD01_F01_0054,BLD01_F01,BLD01_F01_ZB,
SEN_DSK_000055,DESK_OCCUPANCY,WORKSPACE,DESK_BLD01_F01_0055,BLD01_F01,BLD01_F01_ZB,
SEN_DSK_000056,DESK_OCCUPANCY,WORKSPACE,DESK_BLD01_F01_0056,BLD01_F01,BLD01_F01_ZB,
SEN_DSK_000057,DESK_OCCUPANCY,WORKSPACE,DESK_BLD01_F01_0057,BLD01_F01,BLD01_F01_ZB,
SEN_DSK_000058,DESK_OCCUPANCY,WORKSPACE,DESK_BLD01_F01_0058,BLD01_F01,BLD01_F01_ZB,
SEN_DSK_000059,DESK_OCCUPANCY,WORKSPACE,DESK_BLD01_F01_0059,BLD01_F01,BLD01_F01_ZB,
SEN_DSK_000060,DESK_OCCUPANCY,WORKSPACE,DESK_BLD01_F01_0060,BLD01_F01,BLD01_F01_ZB,
SEN_DSK_000061,DESK_OCCUPANCY,WORKSPACE,DESK_BLD01_F01_0061,BLD01_F01,BLD01_F01_ZB,
