team_id,zone_id,share
TEAM_001,BLD01_F01_ZA,0.8
TEAM_001,BLD01_F01_ZD,0.2
TEAM_002,BLD01_F01_ZB,0.8
TEAM_002,BLD01_F01_ZA,0.2
TEAM_003,BLD01_F01_ZC,0.8
TEAM_003,BLD01_F01_ZD,0.2
TEAM_004,BLD01_F01_ZD,0.8
TEAM_004,BLD01_F01_ZC,0.2
TEAM_005,BLD01_F01_ZC,0.8
TEAM_005,BLD01_F01_ZD,0.2
TEAM_006,BLD01_F01_ZA,0.8
TEAM_006,BLD01_F01_ZC,0.2
TEAM_007,BLD01_F01_ZD,0.8
TEAM_007,BLD01_F01_ZA,0.2
TEAM_008,BLD01_F01_ZB,0.8
TEAM_008,BLD01_F01_ZA,0.2
TEAM_009,BLD01_F01_ZC,0.8
TEAM_009,BLD01_F01_ZB,0.2
TEAM_010,BLD01_F01_ZB,0.8
TEAM_010,BLD01_F01_ZD,0.2
TEAM_011,BLD01_F01_ZD,0.8
TEAM_011,BLD01_F01_ZA,0.2
TEAM_012,BLD01_F01_ZA,0.8
TEAM_012,BLD01_F01_ZC,0.2
TEAM_013,BLD01_F01_ZC,0.8
TEAM_013,BLD01_F01_ZB,0.2
TEAM_014,BLD01_F01_ZB,0.8
TEAM_014,BLD01_F01_ZA,0.2
TEAM_015,BLD01_F01_ZA,0.8
TEAM_015,BLD01_F01_ZB,0.2
TEAM_016,BLD01_F01_ZD,0.8
TEAM_016,BLD01_F01_ZA,0.2
TEAM_017,BLD01_F01_ZA,0.8
TEAM_017,BLD01_F01_ZB,0.2
TEAM_018,BLD01_F01_ZB,0.8
TEAM_018,BLD01_F01_ZC,0.2
TEAM_019,BLD01_F01_ZC,0.8
TEAM_019,BLD01_F01_ZA,0.2
TEAM_020,BLD01_F01_ZD,0.8
TEAM_020,BLD01_F01_ZA,0.2
TEAM_021,BLD01_F01_ZC,0.8
TEAM_021,BLD01_F01_ZA,0.2
TEAM_022,BLD01_F02_ZA,0.8
TEAM_022,BLD01_F02_ZC,0.2
TEAM_023,BLD01_F02_ZB,0.8
TEAM_023,BLD01_F02_ZC,0.2
TEAM_024,BLD01_F02_ZC,0.8
TEAM_024,BLD01_F02_ZA,0.2
TEAM_025,BLD01_F02_ZD,0.8
TEAM_025,BLD01_F02_ZC,0.2
TEAM_026,BLD01_F02_ZC,0.8
TEAM_026,BLD01_F02_ZA,0.2
TEAM_027,BLD01_F02_ZA,0.8
TEAM_027,BLD01_F02_ZB,0.2
TEAM_028,BLD01_F02_ZD,0.8
TEAM_028,BLD01_F02_ZB,0.2
TEAM_029,BLD01_F02_ZB,0.8
TEAM_029,BLD01_F02_ZA,0.2
TEAM_030,BLD01_F02_ZA,0.8
TEAM_030,BLD01_F02_ZC,0.2
TEAM_031,BLD01_F02_ZC,0.8
TEAM_031,BLD01_F02_ZA,0.2
TEAM_032,BLD01_F02_ZD,0.8
TEAM_032,BLD01_F02_ZC,0.2
TEAM_033,BLD01_F02_ZB,0.8
TEAM_033,BLD01_F02_ZD,0.2
TEAM_034,BLD01_F02_ZA,0.8
TEAM_034,BLD01_F02_ZC,0.2
TEAM_035,BLD01_F02_ZD,0.8
TEAM_035,BLD01_F02_ZC,0.2
TEAM_036,BLD01_F02_ZC,0.8
TEAM_036,BLD01_F02_ZB,0.2
TEAM_037,BLD01_F02_ZA,0.8
TEAM_037,BLD01_F02_ZB,0.2
TEAM_038,BLD01_F02_ZB,0.8
TEAM_038,BLD01_F02_ZC,0.2
TEAM_039,BLD01_F02_ZD,0.8
TEAM_039,BLD01_F02_ZC,0.2
TEAM_040,BLD01_F02_ZC,0.8
TEAM_040,BLD01_F02_ZB,0.2
TEAM_041,BLD01_F02_ZA,0.8
TEAM_041,BLD01_F02_ZB,0.2
TEAM_042,BLD01_F02_ZB,0.8
TEAM_042,BLD01_F02_ZD,0.2
TEAM_043,BLD01_F02_ZC,0.8
TEAM_043,BLD01_F02_ZB,0.2
TEAM_044,BLD01_F02_ZD,0.8
TEAM_044,BLD01_F02_ZA,0.2
TEAM_045,BLD01_F03_ZA,0.8
TEAM_045,BLD01_F03_ZD,0.2
TEAM_046,BLD01_F03_ZB,0.8
TEAM_046,BLD01_F03_ZD,0.2
TEAM_047,BLD01_F03_ZC,0.8
TEAM_047,BLD01_F03_ZD,0.2
TEAM_048,BLD01_F03_ZD,0.8
TEAM_048,BLD01_F03_ZA,0.2
TEAM_049,BLD01_F03_ZB,0.8
TEAM_049,BLD01_F03_ZC,0.2
TEAM_050,BLD01_F03_ZD,0.8
TEAM_050,BLD01_F03_ZC,0.2
TEAM_051,BLD01_F03_ZC,0.8
TEAM_051,BLD01_F03_ZB,0.2
TEAM_052,BLD01_F03_ZA,0.8
TEAM_052,BLD01_F03_ZD,0.2
TEAM_053,BLD01_F03_ZC,0.8
TEAM_053,BLD01_F03_ZB,0.2
TEAM_054,BLD01_F03_ZB,0.8
TEAM_054,BLD01_F03_ZC,0.2
TEAM_055,BLD01_F03_ZD,0.8
TEAM_055,BLD01_F03_ZB,0.2
TEAM_056,BLD01_F03_ZA,0.8
TEAM_056,BLD01_F03_ZD,0.2
TEAM_057,BLD01_F03_ZD,0.8
TEAM_057,BLD01_F03_ZB,0.2
TEAM_058,BLD01_F03_ZB,0.8
TEAM_058,BLD01_F03_ZD,0.2
TEAM_059,BLD01_F03_ZA,0.8
TEAM_059,BLD01_F03_ZD,0.2
TEAM_060,BLD01_F03_ZC,0.8
TEAM_060,BLD01_F03_ZA,0.2
TEAM_061,BLD01_F03_ZD,0.8
TEAM_061,BLD01_F03_ZA,0.2
TEAM_062,BLD01_F03_ZA,0.8
TEAM_062,BLD01_F03_ZB,0.2
TEAM_063,BLD01_F03_ZB,0.8
TEAM_063,BLD01_F03_ZA,0.2
TEAM_064,BLD01_F03_ZD,0.8
TEAM_064,BLD01_F03_ZA,0.2
TEAM_065,BLD01_F03_ZC,0.8
TEAM_065,BLD01_F03_ZB,0.2
TEAM_066,BLD01_F03_ZA,0.8
TEAM_066,BLD01_F03_ZD,0.2
TEAM_067,BLD01_F03_ZB,0.8
TEAM_067,BLD01_F03_ZC,0.2
TEAM_068,BLD01_F03_ZD,0.8
TEAM_068,BLD01_F03_ZB,0.2
TEAM_069,BLD01_F04_ZA,0.8
