team_id,department_id,department,name,office_days,home_floor_id,primary_zone_id
TEAM_001,DEP_ENG,Engineering,Engineering Team 1,"[2, 3, 4]",BLD01_F01,BLD01_F01_ZA
TEAM_002,DEP_ENG,Engineering,Engineering Team 2,"[2, 3, 4]",BLD01_F01,BLD01_F01_ZB
TEAM_003,DEP_ENG,Engineering,Engineering Team 3,"[2, 3, 4]",BLD01_F01,BLD01_F01_ZC
TEAM_004,DEP_ENG,Engineering,Engineering Team 4,"[2, 3, 4]",BLD01_F01,BLD01_F01_ZD
TEAM_005,DEP_ENG,Engineering,Engineering Team 5,"[2, 3, 4]",BLD01_F01,BLD01_F01_ZC
TEAM_006,DEP_ENG,Engineering,Engineering Team 6,"[2, 3, 4]",BLD01_F01,BLD01_F01_ZA
TEAM_007,DEP_ENG,Engineering,Engineering Team 7,"[2, 3, 4]",BLD01_F01,BLD01_F01_ZD
TEAM_008,DEP_ENG,Engineering,Engineering Team 8,"[2, 3, 4]",BLD01_F01,BLD01_F01_ZB
TEAM_009,DEP_ENG,Engineering,Engineering Team 9,"[2, 3, 4]",BLD01_F01,BLD01_F01_ZC
TEAM_010,DEP_ENG,Engineering,Engineering Team 10,"[2, 3, 4]",BLD01_F01,BLD01_F01_ZB
TEAM_011,DEP_ENG,Engineering,Engineering Team 11,"[2, 3, 4]",BLD01_F01,BLD01_F01_ZD
TEAM_012,DEP_ENG,Engineering,Engineering Team 12,"[2, 3, 4]",BLD01_F01,BLD01_F01_ZA
TEAM_013,DEP_ENG,Engineering,Engineering Team 13,"[2, 3, 4]",BLD01_F01,BLD01_F01_ZC
TEAM_014,DEP_ENG,Engineering,Engineering Team 14,"[2, 3, 4]",BLD01_F01,BLD01_F01_ZB
TEAM_015,DEP_ENG,Engineering,Engineering Team 15,"[2, 3, 4]",BLD01_F01,BLD01_F01_ZA
TEAM_016,DEP_ENG,Engineering,Engineering Team 16,"[2, 3, 4]",BLD01_F01,BLD01_F01_ZD
TEAM_017,DEP_ENG,Engineering,Engineering Team 17,"[2, 3, 4]",BLD01_F01,BLD01_F01_ZA
TEAM_018,DEP_ENG,Engineering,Engineering Team 18,"[2, 3, 4]",BLD01_F01,BLD01_F01_ZB
TEAM_019,DEP_ENG,Engineering,Engineering Team 19,"[2, 3, 4]",BLD01_F01,BLD01_F01_ZC
TEAM_020,DEP_ENG,Engineering,Engineering Team 20,"[2, 3, 4]",BLD01_F01,BLD01_F01_ZD
TEAM_021,DEP_ENG,Engineering,Engineering Team 21,"[2, 3, 4]",BLD01_F01,BLD01_F01_ZC
TEAM_022,DEP_ENG,Engineering,Engineering Team 22,"[2, 3, 4]",BLD01_F02,BLD01_F02_ZA
TEAM_023,DEP_ENG,Engineering,Engineering Team 23,"[2, 3, 4]",BLD01_F02,BLD01_F02_ZB
TEAM_024,DEP_ENG,Engineering,Engineering Team 24,"[2, 3, 4]",BLD01_F02,BLD01_F02_ZC
TEAM_025,DEP_ENG,Engineering,Engineering Team 25,"[2, 3, 4]",BLD01_F02,BLD01_F02_ZD
