employee_id,workspace_id,valid_from
EMP000771,DESK_BLD01_F04_0601,2026-01-01
EMP000772,DESK_BLD01_F04_0602,2026-01-01
EMP000773,DESK_BLD01_F04_0603,2026-01-01
EMP000774,DESK_BLD01_F04_0604,2026-01-01
EMP000775,DESK_BLD01_F04_0605,2026-01-01
EMP000776,DESK_BLD01_F04_0606,2026-01-01
EMP000777,DESK_BLD01_F04_0607,2026-01-01
EMP000778,DESK_BLD01_F04_0608,2026-01-01
EMP000779,DESK_BLD01_F04_0651,2026-01-01
EMP000780,DESK_BLD01_F04_0652,2026-01-01
EMP000781,DESK_BLD01_F04_0653,2026-01-01
EMP000782,DESK_BLD01_F04_0654,2026-01-01
EMP000783,DESK_BLD01_F04_0655,2026-01-01
EMP000784,DESK_BLD01_F04_0656,2026-01-01
EMP000785,DESK_BLD01_F04_0657,2026-01-01
EMP000786,DESK_BLD01_F04_0658,2026-01-01
EMP000787,DESK_BLD01_F04_0659,2026-01-01
EMP000788,DESK_BLD01_F04_0660,2026-01-01
EMP000790,DESK_BLD01_F04_0661,2026-01-01
EMP000791,DESK_BLD01_F04_0662,2026-01-01
EMP000792,DESK_BLD01_F04_0663,2026-01-01
EMP000793,DESK_BLD01_F04_0664,2026-01-01
EMP000794,DESK_BLD01_F04_0701,2026-01-01
EMP000795,DESK_BLD01_F04_0702,2026-01-01
EMP000796,DESK_BLD01_F04_0703,2026-01-01
EMP000797,DESK_BLD01_F04_0704,2026-01-01
EMP000798,DESK_BLD01_F04_0705,2026-01-01
EMP000799,DESK_BLD01_F04_0706,2026-01-01
EMP000800,DESK_BLD01_F04_0707,2026-01-01
EMP000802,DESK_BLD01_F04_0708,2026-01-01
EMP000804,DESK_BLD01_F04_0709,2026-01-01
EMP000805,DESK_BLD01_F04_0710,2026-01-01
EMP000806,DESK_BLD01_F04_0711,2026-01-01
EMP000807,DESK_BLD01_F04_0712,2026-01-01
EMP000809,DESK_BLD01_F04_0751,2026-01-01
EMP000810,DESK_BLD01_F04_0752,2026-01-01
EMP000811,DESK_BLD01_F04_0753,2026-01-01
EMP000812,DESK_BLD01_F04_0754,2026-01-01
EMP000813,DESK_BLD01_F04_0755,2026-01-01
EMP000814,DESK_BLD01_F04_0756,2026-01-01
EMP000816,DESK_BLD01_F04_0757,2026-01-01
EMP000817,DESK_BLD01_F04_0758,2026-01-01
EMP000818,DESK_BLD01_F04_0759,2026-01-01
EMP000819,DESK_BLD01_F04_0760,2026-01-01
EMP000820,DESK_BLD01_F04_0609,2026-01-01
EMP000821,DESK_BLD01_F04_0610,2026-01-01
EMP000822,DESK_BLD01_F04_0611,2026-01-01
EMP000824,DESK_BLD01_F04_0612,2026-01-01
EMP000825,DESK_BLD01_F04_0613,2026-01-01
EMP000827,DESK_BLD01_F04_0614,2026-01-01
EMP000828,DESK_BLD01_F04_0615,2026-01-01
EMP000829,DESK_BLD01_F04_0616,2026-01-01
EMP000830,DESK_BLD01_F04_0617,2026-01-01
EMP000831,DESK_BLD01_F04_0618,2026-01-01
EMP000832,DESK_BLD01_F04_0619,2026-01-01
EMP000833,DESK_BLD01_F04_0620,2026-01-01
EMP000834,DESK_BLD01_F04_0761,2026-01-01
EMP000835,DESK_BLD01_F04_0762,2026-01-01
EMP000836,DESK_BLD01_F04_0763,2026-01-01
EMP000837,DESK_BLD01_F04_0764,2026-01-01
EMP000838,DESK_BLD01_F04_0765,2026-01-01
EMP000839,DESK_BLD01_F04_0766,2026-01-01
EMP000840,DESK_BLD01_F04_0767,2026-01-01
EMP000843,DESK_BLD01_F04_0768,2026-01-01
EMP000845,DESK_BLD01_F04_0769,2026-01-01
EMP000846,DESK_BLD01_F04_0665,2026-01-01
EMP000847,DESK_BLD01_F04_0666,2026-01-01
EMP000848,DESK_BLD01_F04_0667,2026-01-01
EMP000849,DESK_BLD01_F04_0668,2026-01-01
EMP000850,DESK_BLD01_F04_0669,2026-01-01
EMP000851,DESK_BLD01_F04_0713,2026-01-01
EMP000852,DESK_BLD01_F04_0714,2026-01-01
EMP000853,DESK_BLD01_F04_0715,2026-01-01
EMP000854,DESK_BLD01_F04_0716,2026-01-01
EMP000855,DESK_BLD01_F04_0717,2026-01-01
EMP000856,DESK_BLD01_F04_0718,2026-01-01
EMP000857,DESK_BLD01_F04_0719,2026-01-01
EMP000859,DESK_BLD01_F04_0720,2026-01-01
EMP000860,DESK_BLD01_F04_0670,2026-01-01
EMP000861,DESK_BLD01_F04_0671,2026-01-01
EMP000862,DESK_BLD01_F04_0672,2026-01-01
EMP000863,DESK_BLD01_F04_0673,2026-01-01
EMP000864,DESK_BLD01_F04_0674,2026-01-01
EMP000865,DESK_BLD01_F04_0675,2026-01-01
EMP000866,DESK_BLD01_F04_0676,2026-01-01
EMP000867,DESK_BLD01_F04_0677,2026-01-01
EMP000868,DESK_BLD01_F04_0678,2026-01-01
EMP000869,DESK_BLD01_F04_0679,2026-01-01
EMP000870,DESK_BLD01_F04_0680,2026-01-01
EMP000871,DESK_BLD01_F04_0621,2026-01-01
EMP000872,DESK_BLD01_F04_0622,2026-01-01
EMP000873,DESK_BLD01_F04_0623,2026-01-01
EMP000874,DESK_BLD01_F04_0624,2026-01-01
EMP000875,DESK_BLD01_F04_0625,2026-01-01
EMP000876,DESK_BLD01_F04_0626,2026-01-01
EMP000877,DESK_BLD01_F04_0627,2026-01-01
EMP000879,DESK_BLD01_F04_0628,2026-01-01
EMP000880,DESK_BLD01_F04_0629,2026-01-01
EMP000881,DESK_BLD01_F04_0630,2026-01-01
EMP000882,DESK_BLD01_F04_0631,2026-01-01
EMP000883,DESK_BLD01_F04_0770,2026-01-01
EMP000884,DESK_BLD01_F04_0771,2026-01-01
EMP000886,DESK_BLD01_F04_0772,2026-01-01
EMP000887,DESK_BLD01_F04_0773,2026-01-01
EMP000888,DESK_BLD01_F04_0774,2026-01-01
EMP000889,DESK_BLD01_F04_0775,2026-01-01
EMP000890,DESK_BLD01_F04_0776,2026-01-01
EMP000891,DESK_BLD01_F04_0777,2026-01-01
EMP000892,DESK_BLD01_F04_0778,2026-01-01
EMP000893,DESK_BLD01_F04_0779,2026-01-01
EMP000894,DESK_BLD01_F04_0780,2026-01-01
EMP000895,DESK_BLD01_F04_0781,2026-01-01
EMP000896,DESK_BLD01_F04_0782,2026-01-01
EMP000897,DESK_BLD01_F04_0721,2026-01-01
EMP000898,DESK_BLD01_F04_0722,2026-01-01
EMP000899,DESK_BLD01_F04_0723,2026-01-01
EMP000901,DESK_BLD01_F04_0724,2026-01-01
EMP000902,DESK_BLD01_F04_0725,2026-01-01
EMP000903,DESK_BLD01_F04_0726,2026-01-01
EMP000904,DESK_BLD01_F04_0727,2026-01-01
EMP000906,DESK_BLD01_F04_0728,2026-01-01
EMP000907,DESK_BLD01_F04_0729,2026-01-01
EMP000908,DESK_BLD01_F04_0730,2026-01-01
EMP000909,DESK_BLD01_F04_0731,2026-01-01
EMP000910,DESK_BLD01_F04_0732,2026-01-01
EMP000911,DESK_BLD01_F04_0733,2026-01-01
EMP000912,DESK_BLD01_F04_0734,2026-01-01
EMP000913,DESK_BLD01_F04_0735,2026-01-01
EMP000914,DESK_BLD01_F04_0736,2026-01-01
EMP000915,DESK_BLD01_F04_0681,2026-01-01
EMP000917,DESK_BLD01_F04_0682,2026-01-01
EMP000918,DESK_BLD01_F04_0683,2026-01-01
EMP000919,DESK_BLD01_F04_0684,2026-01-01
EMP000920,DESK_BLD01_F04_0685,2026-01-01
EMP000921,DESK_BLD01_F04_0686,2026-01-01
EMP000922,DESK_BLD01_F04_0687,2026-01-01
EMP000923,DESK_BLD01_F04_0688,2026-01-01
EMP000924,DESK_BLD01_F04_0689,2026-01-01
EMP000925,DESK_BLD01_F04_0632,2026-01-01
EMP000926,DESK_BLD01_F04_0633,2026-01-01
EMP000929,DESK_BLD01_F04_0634,2026-01-01
EMP000930,DESK_BLD01_F04_0635,2026-01-01
EMP000931,DESK_BLD01_F04_0636,2026-01-01
EMP000932,DESK_BLD01_F04_0637,2026-01-01
EMP000934,DESK_BLD01_F04_0638,2026-01-01
EMP000935,DESK_BLD01_F04_0639,2026-01-01
EMP000936,DESK_BLD01_F04_0640,2026-01-01
EMP000937,DESK_BLD01_F04_0641,2026-01-01
EMP000938,DESK_BLD01_F04_0783,2026-01-01
EMP000940,DESK_BLD01_F04_0784,2026-01-01
EMP000941,DESK_BLD01_F04_0785,2026-01-01
EMP000943,DESK_BLD01_F04_0786,2026-01-01
EMP000944,DESK_BLD01_F04_0787,2026-01-01
EMP000945,DESK_BLD01_F04_0788,2026-01-01
EMP000946,DESK_BLD01_F04_0789,2026-01-01
EMP000947,DESK_BLD01_F04_0790,2026-01-01
EMP000948,DESK_BLD01_F04_0791,2026-01-01
EMP000950,DESK_BLD01_F04_0690,2026-01-01
EMP000951,DESK_BLD01_F04_0691,2026-01-01
EMP000952,DESK_BLD01_F04_0692,2026-01-01
EMP000953,DESK_BLD01_F04_0693,2026-01-01
EMP000954,DESK_BLD01_F04_0694,2026-01-01
EMP000955,DESK_BLD01_F04_0695,2026-01-01
EMP000956,DESK_BLD01_F04_0696,2026-01-01
EMP000957,DESK_BLD01_F04_0697,2026-01-01
EMP000958,DESK_BLD01_F04_0698,2026-01-01
EMP000959,DESK_BLD01_F04_0699,2026-01-01
EMP000960,DESK_BLD01_F04_0700,2026-01-01
EMP000961,DESK_BLD01_F04_0737,2026-01-01
EMP000962,DESK_BLD01_F04_0738,2026-01-01
EMP000963,DESK_BLD01_F04_0739,2026-01-01
EMP000964,DESK_BLD01_F04_0740,2026-01-01
EMP000965,DESK_BLD01_F04_0741,2026-01-01
EMP000966,DESK_BLD01_F04_0742,2026-01-01
EMP000968,DESK_BLD01_F04_0743,2026-01-01
EMP000969,DESK_BLD01_F04_0744,2026-01-01
EMP000970,DESK_BLD01_F04_0745,2026-01-01
EMP000972,DESK_BLD01_F04_0746,2026-01-01
EMP000973,DESK_BLD01_F04_0642,2026-01-01
EMP000974,DESK_BLD01_F04_0643,2026-01-01
EMP000977,DESK_BLD01_F04_0644,2026-01-01
EMP000978,DESK_BLD01_F04_0645,2026-01-01
EMP000979,DESK_BLD01_F04_0646,2026-01-01
EMP000982,DESK_BLD01_F04_0647,2026-01-01
EMP000983,DESK_BLD01_F04_0648,2026-01-01
EMP000986,DESK_BLD01_F04_0649,2026-01-01
EMP000987,DESK_BLD01_F04_0792,2026-01-01
EMP000988,DESK_BLD01_F04_0793,2026-01-01
EMP000989,DESK_BLD01_F04_0794,2026-01-01
EMP000990,DESK_BLD01_F04_0795,2026-01-01
EMP000992,DESK_BLD01_F04_0796,2026-01-01
EMP000993,DESK_BLD01_F04_0797,2026-01-01
EMP000996,DESK_BLD01_F04_0798,2026-01-01
EMP000997,DESK_BLD01_F04_0799,2026-01-01
EMP000998,DESK_BLD01_F04_0800,2026-01-01
EMP000999,DESK_BLD01_F04_0650,2026-01-01
