workspace_id,floor_id,zone_id,workspace_type,x,y,size,status,has_sensor,device_type
DESK_BLD01_F01_0001,BLD01_F01,BLD01_F01_ZA,DESK,17.58,6.17,2.62,ACTIVE,True,DOCKING_STATION
DESK_BLD01_F01_0002,BLD01_F01,BLD01_F01_ZA,DESK,22.14,6.17,2.62,ACTIVE,True,DOCKING_STATION
DESK_BLD01_F01_0003,BLD01_F01,BLD01_F01_ZA,DESK,26.69,6.17,2.62,ACTIVE,True,DOCKING_STATION
DESK_BLD01_F01_0004,BLD01_F01,BLD01_F01_ZA,DESK,31.25,6.17,2.62,ACTIVE,True,DOCKING_STATION
DESK_BLD01_F01_0005,BLD01_F01,BLD01_F01_ZA,DESK,35.81,6.17,2.62,ACTIVE,True,DOCKING_STATION
DESK_BLD01_F01_0006,BLD01_F01,BLD01_F01_ZA,DESK,40.36,6.17,2.62,ACTIVE,True,DOCKING_STATION
DESK_BLD01_F01_0007,BLD01_F01,BLD01_F01_ZA,DESK,44.92,6.17,2.62,ACTIVE,True,DOCKING_STATION
DESK_BLD01_F01_0008,BLD01_F01,BLD01_F01_ZA,DESK,17.58,9.91,2.62,ACTIVE,True,DOCKING_STATION
DESK_BLD01_F01_0009,BLD01_F01,BLD01_F01_ZA,DESK,22.14,9.91,2.62,ACTIVE,True,DOCKING_STATION
DESK_BLD01_F01_0010,BLD01_F01,BLD01_F01_ZA,DESK,26.69,9.91,2.62,ACTIVE,True,DOCKING_STATION
DESK_BLD01_F01_0011,BLD01_F01,BLD01_F01_ZA,DESK,31.25,9.91,2.62,ACTIVE,True,DOCKING_STATION
DESK_BLD01_F01_0012,BLD01_F01,BLD01_F01_ZA,DESK,35.81,9.91,2.62,ACTIVE,True,DOCKING_STATION
DESK_BLD01_F01_0013,BLD01_F01,BLD01_F01_ZA,DESK,40.36,9.91,2.62,ACTIVE,True,DOCKING_STATION
DESK_BLD01_F01_0014,BLD01_F01,BLD01_F01_ZA,DESK,44.92,9.91,2.62,ACTIVE,True,DOCKING_STATION
DESK_BLD01_F01_0015,BLD01_F01,BLD01_F01_ZA,DESK,17.58,13.64,2.62,ACTIVE,True,DOCKING_STATION
DESK_BLD01_F01_0016,BLD01_F01,BLD01_F01_ZA,DESK,22.14,13.64,2.62,ACTIVE,True,DOCKING_STATION
DESK_BLD01_F01_0017,BLD01_F01,BLD01_F01_ZA,DESK,26.69,13.64,2.62,ACTIVE,True,DOCKING_STATION
DESK_BLD01_F01_0018,BLD01_F01,BLD01_F01_ZA,DESK,31.25,13.64,2.62,ACTIVE,True,DOCKING_STATION
DESK_BLD01_F01_0019,BLD01_F01,BLD01_F01_ZA,DESK,35.81,13.64,2.62,ACTIVE,True,DOCKING_STATION
DESK_BLD01_F01_0020,BLD01_F01,BLD01_F01_ZA,DESK,40.36,13.64,2.62,ACTIVE,True,DOCKING_STATION
DESK_BLD01_F01_0021,BLD01_F01,BLD01_F01_ZA,DESK,44.92,13.64,2.62,ACTIVE,True,DOCKING_STATION
DESK_BLD01_F01_0022,BLD01_F01,BLD01_F01_ZA,DESK,17.58,17.38,2.62,ACTIVE,True,DOCKING_STATION
DESK_BLD01_F01_0023,BLD01_F01,BLD01_F01_ZA,DESK,22.14,17.38,2.62,ACTIVE,True,DOCKING_STATION
DESK_BLD01_F01_0024,BLD01_F01,BLD01_F01_ZA,DESK,26.69,17.38,2.62,ACTIVE,True,DOCKING_STATION
DESK_BLD01_F01_0025,BLD01_F01,BLD01_F01_ZA,DESK,31.25,17.38,2.62,ACTIVE,True,DOCKING_STATION
DESK_BLD01_F01_0026,BLD01_F01,BLD01_F01_ZA,DESK,35.81,17.38,2.62,ACTIVE,True,DOCKING_STATION
DESK_BLD01_F01_0027,BLD01_F01,BLD01_F01_ZA,DESK,40.36,17.38,2.62,ACTIVE,True,DOCKING_STATION
DESK_BLD01_F01_0028,BLD01_F01,BLD01_F01_ZA,DESK,44.92,17.38,2.62,ACTIVE,True,DOCKING_STATION
DESK_BLD01_F01_0029,BLD01_F01,BLD01_F01_ZA,DESK,17.58,21.12,2.62,ACTIVE,True,DOCKING_STATION
DESK_BLD01_F01_0030,BLD01_F01,BLD01_F01_ZA,DESK,22.14,21.12,2.62,ACTIVE,True,DOCKING_STATION
DESK_BLD01_F01_0031,BLD01_F01,BLD01_F01_ZA,DESK,26.69,21.12,2.62,ACTIVE,True,DOCKING_STATION
DESK_BLD01_F01_0032,BLD01_F01,BLD01_F01_ZA,DESK,31.25,21.12,2.62,ACTIVE,True,DOCKING_STATION
DESK_BLD01_F01_0033,BLD01_F01,BLD01_F01_ZA,DESK,35.81,21.12,2.62,ACTIVE,True,DOCKING_STATION
DESK_BLD01_F01_0034,BLD01_F01,BLD01_F01_ZA,DESK,40.36,21.12,2.62,ACTIVE,True,DOCKING_STATION
DESK_BLD01_F01_0035,BLD01_F01,BLD01_F01_ZA,DESK,44.92,21.12,2.62,ACTIVE,True,DOCKING_STATION
DESK_BLD01_F01_0036,BLD01_F01,BLD01_F01_ZA,DESK,17.58,24.86,2.62,ACTIVE,True,DOCKING_STATION
DESK_BLD01_F01_0037,BLD01_F01,BLD01_F01_ZA,DESK,22.14,24.86,2.62,ACTIVE,True,DOCKING_STATION
DESK_BLD01_F01_0038,BLD01_F01,BLD01_F01_ZA,DESK,26.69,24.86,2.62,ACTIVE,True,DOCKING_STATION
DESK_BLD01_F01_0039,BLD01_F01,BLD01_F01_ZA,DESK,31.25,24.86,2.62,ACTIVE,True,DOCKING_STATION
DESK_BLD01_F01_0040,BLD01_F01,BLD01_F01_ZA,DESK,35.81,24.86,2.62,ACTIVE,True,DOCKING_STATION
DESK_BLD01_F01_0041,BLD01_F01,BLD01_F01_ZA,DESK,40.36,24.86,2.62,ACTIVE,True,DOCKING_STATION
DESK_BLD01_F01_0042,BLD01_F01,BLD01_F01_ZA,DESK,44.92,24.86,2.62,ACTIVE,True,DOCKING_STATION
DESK_BLD01_F01_0043,BLD01_F01,BLD01_F01_ZA,DESK,17.58,28.59,2.62,ACTIVE,True,DOCKING_STATION
DESK_BLD01_F01_0044,BLD01_F01,BLD01_F01_ZA,DESK,22.14,28.59,2.62,ACTIVE,True,DOCKING_STATION
DESK_BLD01_F01_0045,BLD01_F01,BLD01_F01_ZA,DESK,26.69,28.59,2.62,ACTIVE,True,DOCKING_STATION
DESK_BLD01_F01_0046,BLD01_F01,BLD01_F01_ZA,DESK,31.25,28.59,2.62,ACTIVE,True,DOCKING_STATION
DESK_BLD01_F01_0047,BLD01_F01,BLD01_F01_ZA,DESK,35.81,28.59,2.62,ACTIVE,True,DOCKING_STATION
DESK_BLD01_F01_0048,BLD01_F01,BLD01_F01_ZA,DESK,40.36,28.59,2.62,ACTIVE,True,DOCKING_STATION
DESK_BLD01_F01_0049,BLD01_F01,BLD01_F01_ZA,DESK,44.92,28.59,2.62,ACTIVE,True,DOCKING_STATION
DESK_BLD01_F01_0050,BLD01_F01,BLD01_F01_ZA,DESK,17.58,32.33,2.62,ACTIVE,True,DOCKING_STATION
DESK_BLD01_F01_0051,BLD01_F01,BLD01_F01_ZB,DESK,52.08,6.17,2.62,ACTIVE,True,DOCKING_STATION
DESK_BLD01_F01_0052,BLD01_F01,BLD01_F01_ZB,DESK,56.64,6.17,2.62,ACTIVE,True,DOCKING_STATION
DESK_BLD01_F01_0053,BLD01_F01,BLD01_F01_ZB,DESK,61.19,6.17,2.62,ACTIVE,True,DOCKING_STATION
DESK_BLD01_F01_0054,BLD01_F01,BLD01_F01_ZB,DESK,65.75,6.17,2.62,ACTIVE,True,DOCKING_STATION
DESK_BLD01_F01_0055,BLD01_F01,BLD01_F01_ZB,DESK,70.31,6.17,2.62,ACTIVE,True,DOCKING_STATION
DESK_BLD01_F01_0056,BLD01_F01,BLD01_F01_ZB,DESK,74.86,6.17,2.62,ACTIVE,True,DOCKING_STATION
DESK_BLD01_F01_0057,BLD01_F01,BLD01_F01_ZB,DESK,79.42,6.17,2.62,ACTIVE,True,DOCKING_STATION
DESK_BLD01_F01_0058,BLD01_F01,BLD01_F01_ZB,DESK,52.08,9.91,2.62,ACTIVE,True,DOCKING_STATION
DESK_BLD01_F01_0059,BLD01_F01,BLD01_F01_ZB,DESK,56.64,9.91,2.62,ACTIVE,True,DOCKING_STATION
DESK_BLD01_F01_0060,BLD01_F01,BLD01_F01_ZB,DESK,61.19,9.91,2.62,ACTIVE,True,DOCKING_STATION
DESK_BLD01_F01_0061,BLD01_F01,BLD01_F01_ZB,DESK,65.75,9.91,2.62,ACTIVE,True,DOCKING_STATION
DESK_BLD01_F01_0062,BLD01_F01,BLD01_F01_ZB,DESK,70.31,9.91,2.62,ACTIVE,True,DOCKING_STATION
DESK_BLD01_F01_0063,BLD01_F01,BLD01_F01_ZB,DESK,74.86,9.91,2.62,ACTIVE,True,DOCKING_STATION
DESK_BLD01_F01_0064,BLD01_F01,BLD01_F01_ZB,DESK,79.42,9.91,2.62,ACTIVE,True,DOCKING_STATION
DESK_BLD01_F01_0065,BLD01_F01,BLD01_F01_ZB,DESK,52.08,13.64,2.62,ACTIVE,True,DOCKING_STATION
DESK_BLD01_F01_0066,BLD01_F01,BLD01_F01_ZB,DESK,56.64,13.64,2.62,ACTIVE,True,DOCKING_STATION
DESK_BLD01_F01_0067,BLD01_F01,BLD01_F01_ZB,DESK,61.19,13.64,2.62,ACTIVE,True,DOCKING_STATION
DESK_BLD01_F01_0068,BLD01_F01,BLD01_F01_ZB,DESK,65.75,13.64,2.62,ACTIVE,True,DOCKING_STATION
DESK_BLD01_F01_0069,BLD01_F01,BLD01_F01_ZB,DESK,70.31,13.64,2.62,ACTIVE,True,DOCKING_STATION
DESK_BLD01_F01_0070,BLD01_F01,BLD01_F01_ZB,DESK,74.86,13.64,2.62,ACTIVE,True,DOCKING_STATION
DESK_BLD01_F01_0071,BLD01_F01,BLD01_F01_ZB,DESK,79.42,13.64,2.62,ACTIVE,True,DOCKING_STATION
DESK_BLD01_F01_0072,BLD01_F01,BLD01_F01_ZB,DESK,52.08,17.38,2.62,ACTIVE,True,DOCKING_STATION
DESK_BLD01_F01_0073,BLD01_F01,BLD01_F01_ZB,DESK,56.64,17.38,2.62,ACTIVE,True,DOCKING_STATION
DESK_BLD01_F01_0074,BLD01_F01,BLD01_F01_ZB,DESK,61.19,17.38,2.62,ACTIVE,True,DOCKING_STATION
DESK_BLD01_F01_0075,BLD01_F01,BLD01_F01_ZB,DESK,65.75,17.38,2.62,ACTIVE,True,DOCKING_STATION
