zone_id,floor_id,name,zone_type,x,y,width,height,is_restricted,capacity,allowed_team_ids
BLD01_F01_ZLOB,BLD01_F01,Entrance Lobby,ENTRANCE,0,0,12,72,False,0,
BLD01_F01_ZA,BLD01_F01,Open Workspace A,OPEN_WORKSPACE,14.5,1.5,33.5,33.5,False,50,
BLD01_F01_ZB,BLD01_F01,Open Workspace B,OPEN_WORKSPACE,49.0,1.5,33.5,33.5,False,50,
BLD01_F01_ZC,BLD01_F01,Open Workspace C,OPEN_WORKSPACE,14.5,36.0,33.5,33.5,False,50,
BLD01_F01_ZD,BLD01_F01,Open Workspace D,OPEN_WORKSPACE,49.0,36.0,33.5,33.5,False,50,
BLD01_F01_ZMTG,BLD01_F01,Meeting Rooms,MEETING,86,1,33,44,False,144,
BLD01_F01_ZCOM,BLD01_F01,Cafeteria & Lounge,CAFETERIA,86,47,33,24,False,316,
BLD01_F02_ZLOB,BLD01_F02,Lift Lobby,CIRCULATION,0,0,12,72,False,0,
BLD01_F02_ZA,BLD01_F02,Open Workspace A,OPEN_WORKSPACE,14.5,1.5,33.5,33.5,False,50,
BLD01_F02_ZB,BLD01_F02,Open Workspace B,OPEN_WORKSPACE,49.0,1.5,33.5,33.5,False,50,
BLD01_F02_ZC,BLD01_F02,Open Workspace C,OPEN_WORKSPACE,14.5,36.0,33.5,33.5,False,50,
BLD01_F02_ZD,BLD01_F02,Open Workspace D,OPEN_WORKSPACE,49.0,36.0,33.5,33.5,False,50,
BLD01_F02_ZMTG,BLD01_F02,Meeting Rooms,MEETING,86,1,33,44,False,92,
BLD01_F02_ZCOM,BLD01_F02,Collaboration & Lounge,COLLABORATION,86,47,33,24,False,32,
BLD01_F03_ZLOB,BLD01_F03,Lift Lobby,CIRCULATION,0,0,12,72,False,0,
BLD01_F03_ZA,BLD01_F03,Open Workspace A,OPEN_WORKSPACE,14.5,1.5,33.5,33.5,False,50,
BLD01_F03_ZB,BLD01_F03,Open Workspace B,OPEN_WORKSPACE,49.0,1.5,33.5,33.5,False,50,
BLD01_F03_ZC,BLD01_F03,Open Workspace C,OPEN_WORKSPACE,14.5,36.0,33.5,33.5,False,50,
BLD01_F03_ZD,BLD01_F03,Open Workspace D,OPEN_WORKSPACE,49.0,36.0,33.5,33.5,False,50,
BLD01_F03_ZMTG,BLD01_F03,Meeting Rooms,MEETING,86,1,33,44,False,92,
BLD01_F03_ZCOM,BLD01_F03,Collaboration & Lounge,COLLABORATION,86,47,33,24,False,32,
BLD01_F04_ZLOB,BLD01_F04,Lift Lobby,CIRCULATION,0,0,12,72,False,0,
BLD01_F04_ZA,BLD01_F04,Open Workspace A,OPEN_WORKSPACE,14.5,1.5,33.5,33.5,True,50,"[""TEAM_069"", ""TEAM_073""]"
BLD01_F04_ZB,BLD01_F04,Open Workspace B,OPEN_WORKSPACE,49.0,1.5,33.5,33.5,True,50,"[""TEAM_070"", ""TEAM_075""]"
BLD01_F04_ZC,BLD01_F04,Open Workspace C,OPEN_WORKSPACE,14.5,36.0,33.5,33.5,True,50,"[""TEAM_071""]"
BLD01_F04_ZD,BLD01_F04,Open Workspace D,OPEN_WORKSPACE,49.0,36.0,33.5,33.5,True,50,"[""TEAM_072"", ""TEAM_074""]"
BLD01_F04_ZMTG,BLD01_F04,Meeting Rooms,MEETING,86,1,33,44,False,92,
BLD01_F04_ZCOM,BLD01_F04,Collaboration & Lounge,COLLABORATION,86,47,33,24,False,32,
